Serial,file,document_type,title,theme,year,link,Summary
2128,2128_document.pdf,Case study,Case study: The ITC Hospitality Management Institute,Labour,2015,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2128_document.pdf,"ITC launched the Hospitality Management Institute to train 60 managers annually, expanding to 300 students with a 28,000â€‘sqâ€‘ft centre. Programs cover hotel, kitchen, finance, revenue, and leadership, combining theory and onâ€‘theâ€‘job exposure. Quality faculty, industry partnerships, and rigorous selection reduce attrition to 10 % and secure employment across ITC hotels. worldwide"
2129,2129_document.pdf,Case study,Meeting the skills gap: ITCâ€™s vocational training program,Livelihoods,2015,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2129_document.pdf,"ITC launched a vocational training program in 2013 to bridge skills gaps in rural India, training 2,500 youths, targeting 10,000 annually, focusing on trades like tailoring, hospitality, automotive, and construction. The initiative partners with NGOs, offers residential courses, and achieves 75% formal employment, addressing unemployment and empowering marginalized communities today"
2130,2130_document.pdf,Brief,Business solutions for a sustainable world: Inclusive business initiatives,Equity & Inclusion,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2130_document.pdf,"Inclusive business solutions drive sustainable development by integrating lowâ€‘income markets into corporate value chains, creating jobs, improving access to food, water, health, and fostering innovation. The WBCSD framework aligns 17 SDGs, identifies internal and external barriers, and promotes partnerships with multilateral banks, UN agencies, and firms to scale inclusive models."
2131,2131_document.pdf,Report,Facts & Trends: Fresh & Recycled Fiber Complementarity,Circular Economy,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2131_document.pdf,"Report examines how fresh and recycled wood fibers interrelate within a single integrated system, highlighting supplyâ€‘demand dynamics, ecoâ€‘efficiency of cascading use, environmental tradeâ€‘offs, lifeâ€‘cycle impacts, quality of recovered fiber, design for recycling, societal benefits, certification, and global trends, stressing complementary roles for sustainable paper production and future policy guidance framework."
2133,2133_document.pdf,Overview Report,Business and Human Rights: From Principles to Action - Summary Report I 2016,Human Rights,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2133_document.pdf,Business and human rights report
2134,2134_document.pdf,Report,Business and Human Rights: From Principles to Action,Human Rights,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2134_document.pdf,"In 2016, the W"
2135,2135_document.pdf,Brief,Business & Human Rights: From Principles to Action,Human Rights,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2135_document.pdf,"Business and human rights brief outlines UN Guiding Principles adoption, WBCSD action plan, progress in corporate human rights reporting, regulatory developments, and future challenges, linking UNGPs to Sustainable Development Goals, urging companies to embed policy, integration, engagement, grievance mechanisms, and translate commitments into tangible actions for SDG achievement and impact"
2136,2136_document.pdf,Report,Business and Development,Sustainable Finance,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2136_document.pdf,"World Business Council for Sustainable Development outlines a agenda, featuring key figures such as Robin Bidwell, Roberto Salas, John Grant, Luc Bardin, Vasco de Mello, John G. Rice, Steven Stanbrook, Dr. Fujio Cho, and Matthew Kirk. The document highlights economic shifts, nonâ€‘renewable resource cycles, poverty concerns, and strategic policy directions."
2137,2137_document.pdf,Report,License to innovate Breakthrough strategies for social impact,Social Innovation,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2137_document.pdf,"License to innovate Breakthrough strategies for social impact outlines why and how multinational companies can embed social outcomes into business models. It reviews demand and supply drivers, stakeholder pressures, and barriers, then presents five innovation strategiesâ€”external solutions, network engagement, accelerated external, sandbox, and inâ€‘houseâ€”along with readiness criteria and case studies."
2138,2138_document.pdf,Report,License to innovate: Breakthrough strategies for social impact,Social,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2138_document.pdf,"The report outlines how companies can create social impact by adopting five innovation strategiesâ€”investing externally, engaging networks, accelerating external solutions, sandboxing, and in-house innovationâ€”while addressing stakeholder trust, technology impact, and new legal structures. It emphasizes aligning culture, leadership, and resources to choose the best fit strategy for measurable social change."
2139,2139_document.pdf,Report,Benelux Energy Efficiency in Buildings Laboratory 2015,Green Buildings,2015,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2139_document.pdf,"Benelux Energy Efficiency in Buildings Laboratory 2015 explored building development, identifying barriers such as limited funding, poor communication, conservative mindsets, and regulatory challenges. Participants discussed solutions, models, and studies on schools, homes, and offices, highlighting The Edge, AkzoNobel, and OVG Real Estate as exemplars. The event emphasized action over discussion."
2141,2141_document.pdf,Guide,Measuring Socioeconomic Impact: A Guide for Companies,Social,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2141_document.pdf,"This guide explains why businesses should measure socioâ€‘economic impact, outlines WBCSDâ€™s Measuring Impact Framework, reviews ten tools, and offers criteria for selecting methods. It discusses benefits such as license maintenance, risk mitigation, value creation, and innovation, while urging firms to align profits with societal needs for sustainable growth and impact."
2142,2142_document.pdf,Guide,Business Solutions for a Sustainable World Measuring Socioeconomic Impact Guide for Companies,Social,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2142_document.pdf,"Guide explains why businesses must measure socioâ€‘economic impact, outlines WBCSD Measuring Impact Framework, lists ten tools, and discusses benefits such as licensing, risk mitigation, value chain strengthening, and innovation. It provides case studies, stakeholder perspectives, and practical steps for selecting and applying measurement methods to align operations with development goals."
2143,2143_document.pdf,Report,Informal approaches towards a circular economy â€“ learning from the plastics recycling sector in India,Circular Economy,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2143_document.pdf,"Informal actors in India dominate plastic recycling, filling gaps left by formal systems. Their small businesses collect, sort, and process waste, creating secondary materials that reduce primary demand. The report highlights economic, environmental, and SDG contributions, challenges like health risks, lack of regulation, and opportunities for circular economy transition today"
2144,2144_document.pdf,Report,Contributing to the Sustainable Development Goals: The inclusive business approach business solutions for a sustainable world,Equity & Inclusion,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2144_document.pdf,"The document discusses how inclusive business models align with Development Goals, emphasizing"
2145,2145_document.pdf,Report,Contributing to the Sustainable Development Goals: The Inclusive Business Approach for a Sustainable World,Equity & Inclusion,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2145_document.pdf,"El documento describe la visiÃ³n latinoamericana del Consejo Empresarial Mundial para el Desarrollo Sostenible, destacando los Negocios Inclusivos como puente entre crecimiento corporativo"
2146,2146_document.pdf,Report,Energy & Climate Focus Area Policy Directions to 2050 A business contribution to the dialogues on cooperative action,Energy,2005,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2146_document.pdf,"The document outlines a 2050 energy and climate policy framework, emphasizing integrated, multiâ€‘sector action, technology development, and nationalâ€‘level programs. It stresses the need for a longâ€‘term emissions pathway, supportive government mechanisms, and business engagement to decarbonize power, industry, mobility, buildings, and consumer choices, while balancing economic growth for future sustainability."
2147,2147_document.pdf,Report,Policy Directions to 2050,Sustainable Finance,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2147_document.pdf,insufficient_context
2148,2148_document.pdf,Brief,Improving the Safety and Health of Young Workers,Labour,2018,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2148_document.pdf,"Improving the safety and health of young workers is the focus of this ILO brief, which outlines risk factors, legal standards, and practical measures to protect those aged 15â€‘24. It highlights higher injury rates, the need for education, employer guidance, and policy updates to achieve SDG 8 targets by 2030."
2149,2149_document.pdf,Brief,Just Transition Policy Brief   Skills Development for a Just Transition,Labour,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2149_document.pdf,"The brief outlines how skills development underpins a just transition to green economies, stressing coordinated policy, inclusive training, and social dialogue. It highlights the need for STEM, core, and technical skills, anticipates job shifts, addresses vulnerable groups, and calls for integrated national strategies to align climate commitments with workforce capacity."
2150,2150_document.pdf,Brief,Just Transition Policy Brief   Social protection for a just transition,Social,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2150_document.pdf,"Social protection is central to the ILO Just Transition policy brief, outlining how universal systems can mitigate climateâ€‘related risks, support job transitions, and incentivize green employment. The brief reviews challenges, opportunities, and instruments such as unemployment, pensions, health coverage, and cash transfers, using Germanyâ€™s coal transition as a case study."
2151,2151_document.pdf,Report,Creating a Sustainable Food Future: A Menu of Solutions to Feed Nearly 10 Billion People by 2050,Food & Agriculture,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2151_document.pdf,"Report outlines global strategies to feed 10 billion by 2050, emphasizing demand reduction, production intensification, ecosystem protection, and emissions mitigation. It presents a menu of policy options, model results, and case studies, linking food security, poverty alleviation, and climate goals. Authors from WRI, UN agencies, and academia collaborate for future development"
